Number	|	Question	|	Answer	|	Step 1	|	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
	|	What is  3059 divided by  3 equal to?	|	3059 divided by  3 is equal to 1019 with a remainder of 2	|	"The first digit of the dividend, 3,  is divisible by 3, as 3 times 1 equals 3, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 0 is not divisible by 3,  you need to add a zero to the quotient, and 0 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 0, and the next digit from the dividend, which, together, gives you 5 which is divisible by 3, as 3 times 1 equals 3, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the third step, 2, and the next digit from the dividend, which, together, gives you 29 which is divisible by 3, as 3 times 9 equals 27, which when subtracted leaves a remainder of 2"	|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8554 divided by  39 equal to?	|	8554 divided by  39 is equal to 219 with a remainder of 13	|	"The first two digits of the dividend, 85,  are divisible by 39, as 39 times 2 equals 78, which when subtracted leaves a remainder of 7"	|	"Then take the remainder from the first step, 7 , and the next digit from the dividend, which, together, gives you 75 which is divisible by 39, as 39 times 1 equals 39, which when subtracted leaves a remainder of 36"	|	"Then take the remainder from the second step, 36, and the next digit from the dividend, which, together, gives you 364 which is divisible by 39, as 39 times 9 equals 351, which when subtracted leaves a remainder of 13"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5244 divided by  7 equal to?	|	5244 divided by  7 is equal to 749 with a remainder of 1	|	"The first two digits of the dividend, 52,  are divisible by 7, as 7 times 7 equals 49, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 34 which is divisible by 7, as 7 times 4 equals 28, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the second step, 6, and the next digit from the dividend, which, together, gives you 64 which is divisible by 7, as 7 times 9 equals 63, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2685 divided by  83 equal to?	|	2685 divided by  83 is equal to 32 with a remainder of 29	|	"The first three digits of the dividend, 268,  are divisible by 83, as 83 times 3 equals 249, which when subtracted leaves a remainder of 19"	|	"Then take the remainder from the first step, 19 , and the next digit from the dividend, which, together, gives you 195 which is divisible by 83, as 83 times 2 equals 166, which when subtracted leaves a remainder of 29"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6912 divided by  26 equal to?	|	6912 divided by  26 is equal to 265 with a remainder of 22	|	"The first two digits of the dividend, 69,  are divisible by 26, as 26 times 2 equals 52, which when subtracted leaves a remainder of 17"	|	"Then take the remainder from the first step, 17 , and the next digit from the dividend, which, together, gives you 171 which is divisible by 26, as 26 times 6 equals 156, which when subtracted leaves a remainder of 15"	|	"Then take the remainder from the second step, 15, and the next digit from the dividend, which, together, gives you 152 which is divisible by 26, as 26 times 5 equals 130, which when subtracted leaves a remainder of 22"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5737 divided by  12 equal to?	|	5737 divided by  12 is equal to 478 with a remainder of 1	|	"The first two digits of the dividend, 57,  are divisible by 12, as 12 times 4 equals 48, which when subtracted leaves a remainder of 9"	|	"Then take the remainder from the first step, 9 , and the next digit from the dividend, which, together, gives you 93 which is divisible by 12, as 12 times 7 equals 84, which when subtracted leaves a remainder of 9"	|	"Then take the remainder from the second step, 9, and the next digit from the dividend, which, together, gives you 97 which is divisible by 12, as 12 times 8 equals 96, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3050 divided by  98 equal to?	|	3050 divided by  98 is equal to 31 with a remainder of 12	|	"The first three digits of the dividend, 305,  are divisible by 98, as 98 times 3 equals 294, which when subtracted leaves a remainder of 11"	|	"Then take the remainder from the first step, 11 , and the next digit from the dividend, which, together, gives you 110 which is divisible by 98, as 98 times 1 equals 98, which when subtracted leaves a remainder of 12"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4119 divided by  72 equal to?	|	4119 divided by  72 is equal to 57 with a remainder of 15	|	"The first three digits of the dividend, 411,  are divisible by 72, as 72 times 5 equals 360, which when subtracted leaves a remainder of 51"	|	"Then take the remainder from the first step, 51 , and the next digit from the dividend, which, together, gives you 519 which is divisible by 72, as 72 times 7 equals 504, which when subtracted leaves a remainder of 15"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  891 divided by  91 equal to?	|	891 divided by  91 is equal to 9 with a remainder of 72	|	"The first three digits of the dividend, 891,  are divisible by 91, as 91 times 9 equals 819, which when subtracted leaves a remainder of 72"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6291 divided by  44 equal to?	|	6291 divided by  44 is equal to 142 with a remainder of 43	|	"The first two digits of the dividend, 62,  are divisible by 44, as 44 times 1 equals 44, which when subtracted leaves a remainder of 18"	|	"Then take the remainder from the first step, 18 , and the next digit from the dividend, which, together, gives you 189 which is divisible by 44, as 44 times 4 equals 176, which when subtracted leaves a remainder of 13"	|	"Then take the remainder from the second step, 13, and the next digit from the dividend, which, together, gives you 131 which is divisible by 44, as 44 times 2 equals 88, which when subtracted leaves a remainder of 43"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  322 divided by  92 equal to?	|	322 divided by  92 is equal to 3 with a remainder of 46	|	"The first three digits of the dividend, 322,  are divisible by 92, as 92 times 3 equals 276, which when subtracted leaves a remainder of 46"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3564 divided by  28 equal to?	|	3564 divided by  28 is equal to 127 with a remainder of 8	|	"The first two digits of the dividend, 35,  are divisible by 28, as 28 times 1 equals 28, which when subtracted leaves a remainder of 7"	|	"Then take the remainder from the first step, 7 , and the next digit from the dividend, which, together, gives you 76 which is divisible by 28, as 28 times 2 equals 56, which when subtracted leaves a remainder of 20"	|	"Then take the remainder from the second step, 20, and the next digit from the dividend, which, together, gives you 204 which is divisible by 28, as 28 times 7 equals 196, which when subtracted leaves a remainder of 8"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3677 divided by  17 equal to?	|	3677 divided by  17 is equal to 216 with a remainder of 5	|	"The first two digits of the dividend, 36,  are divisible by 17, as 17 times 2 equals 34, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 27 which is divisible by 17, as 17 times 1 equals 17, which when subtracted leaves a remainder of 10"	|	"Then take the remainder from the second step, 10, and the next digit from the dividend, which, together, gives you 107 which is divisible by 17, as 17 times 6 equals 102, which when subtracted leaves a remainder of 5"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9298 divided by  52 equal to?	|	9298 divided by  52 is equal to 178 with a remainder of 42	|	"The first two digits of the dividend, 92,  are divisible by 52, as 52 times 1 equals 52, which when subtracted leaves a remainder of 40"	|	"Then take the remainder from the first step, 40 , and the next digit from the dividend, which, together, gives you 409 which is divisible by 52, as 52 times 7 equals 364, which when subtracted leaves a remainder of 45"	|	"Then take the remainder from the second step, 45, and the next digit from the dividend, which, together, gives you 458 which is divisible by 52, as 52 times 8 equals 416, which when subtracted leaves a remainder of 42"	|		|		|	LONG DIVISION	|	DIVISION	|	6
