
Tempplate Number	|	Question	|	Answer	|	Step 1	| Q D D R M,	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
11	|	"Each child has 7 lychee. If there are 7 children, how many lychee are there in total?"	|	There are 49 lychee in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 snails. If there are 9 children, how many snails are there in total?"	|	There are 54 snails in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Evelina has 15 hamsters, and Lindy gives her 10 hamsters, then how many hamsters does she have altogether?"	|	Evelina has a total of 25 hamsters	|		|		|		|		|		|	Word Problem	|	addition	|	3
10	|	"if Karisa placed 60 clothes in the bag and 44 were pair of gloves, then how many shritss did she put in the bag?"	|	Karisa placed 28 shritss	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Jae had 37 fruit,  and 24 were purple mangosteens, then how many rock melons did he have?"	|	Jae had 11 rock melons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"Regan played in 63 hockey games this year. Last year, he played in 20 games. How many hockey games did he play in total?"	|	Regan played in a total of 83 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Gayle has 45 lavender coloured crayons, and gives Tanney 2 of her lavender coloured crayons, then how many lavender coloured crayons does she have left?"	|	Gayle has 43 lavender coloured crayons left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 9 crayons. If there are 6 children, how many crayons are there in total?"	|	There are 54 crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Isa played in 83 basketball games this year. Last year, he played in 72 games. How many basketball games did he play in total?"	|	Isa played in a total of 155 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Birgit has 21 foxes, and gives Jonie 9 of her foxes, then how many foxes does she have left?"	|	Birgit has 12 foxes left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Julene fed 18 cheetahs, and Inez fed 4 zebras, then how many wild animals did they feed altogether?"	|	"Together,  Julene and Inez fed 22 wild animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Maggie played in 32 soccer games this year. Last year, she played in 17 games. How many soccer games did she play in total?"	|	Maggie played in a total of 49 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 9 frogs. If there are 10 children, how many frogs are there in total?"	|	There are 90 frogs in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Yanaton took photos of 26 animals,  and 12 were kittens, then how many ducks did he take photos of?"	|	Yanaton took photos of 2 ducks	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 8 ducks. If there are 2 children, how many ducks are there in total?"	|	There are 16 ducks in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Nikole played in 84 basketball games this year. Last year, she played in 68 games. How many basketball games did she play in total?"	|	Nikole played in a total of 152 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
6	|	"if Aubrey saw 30 animals,  and 11 were dogs, then how many squirrels did she see?"	|	Aubrey saw 8 squirrels	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
